ID,Model,HGNC,Transcription_factor,Model_length,Quality,TF_family,EntrezGene,UniProt_ID,TFclass
FOXC2_HUMAN.H11MO.0.D,FOXC2_HUMAN.H11MO.0.D,FOXC2,FOXC2,15,D,Forkhead box (FOX) factors{3.3.1},2303,FOXC2_HUMAN,3.3.1
FOXD1_HUMAN.H11MO.0.D,FOXD1_HUMAN.H11MO.0.D,FOXD1,FOXD1,15,D,Forkhead box (FOX) factors{3.3.1},2297,FOXD1_HUMAN,3.3.1
FOXD2_HUMAN.H11MO.0.D,FOXD2_HUMAN.H11MO.0.D,FOXD2,FOXD2,19,D,Forkhead box (FOX) factors{3.3.1},2306,FOXD2_HUMAN,3.3.1
FOXD3_HUMAN.H11MO.0.D,FOXD3_HUMAN.H11MO.0.D,FOXD3,FOXD3,15,D,Forkhead box (FOX) factors{3.3.1},27022,FOXD3_HUMAN,3.3.1
FOXF1_HUMAN.H11MO.0.D,FOXF1_HUMAN.H11MO.0.D,FOXF1,FOXF1,11,D,Forkhead box (FOX) factors{3.3.1},2294,FOXF1_HUMAN,3.3.1
FOXF2_HUMAN.H11MO.0.D,FOXF2_HUMAN.H11MO.0.D,FOXF2,FOXF2,11,D,Forkhead box (FOX) factors{3.3.1},2295,FOXF2_HUMAN,3.3.1
FOXG1_HUMAN.H11MO.0.D,FOXG1_HUMAN.H11MO.0.D,FOXG1,FOXG1,17,D,Forkhead box (FOX) factors{3.3.1},2290,FOXG1_HUMAN,3.3.1
FOXH1_HUMAN.H11MO.0.A,FOXH1_HUMAN.H11MO.0.A,FOXH1,FOXH1,9,A,Forkhead box (FOX) factors{3.3.1},8928,FOXH1_HUMAN,3.3.1
FOXI1_HUMAN.H11MO.0.B,FOXI1_HUMAN.H11MO.0.B,FOXI1,FOXI1,12,B,Forkhead box (FOX) factors{3.3.1},2299,FOXI1_HUMAN,3.3.1
FOXJ2_HUMAN.H11MO.0.C,FOXJ2_HUMAN.H11MO.0.C,FOXJ2,FOXJ2,10,C,Forkhead box (FOX) factors{3.3.1},55810,FOXJ2_HUMAN,3.3.1
FOXJ3_HUMAN.H11MO.0.A,FOXJ3_HUMAN.H11MO.0.A,FOXJ3,FOXJ3,13,A,Forkhead box (FOX) factors{3.3.1},22887,FOXJ3_HUMAN,3.3.1
FOXJ3_HUMAN.H11MO.1.B,FOXJ3_HUMAN.H11MO.1.B,FOXJ3,FOXJ3,13,B,Forkhead box (FOX) factors{3.3.1},22887,FOXJ3_HUMAN,3.3.1
FOXK1_HUMAN.H11MO.0.A,FOXK1_HUMAN.H11MO.0.A,FOXK1,FOXK1,10,A,Forkhead box (FOX) factors{3.3.1},221937,FOXK1_HUMAN,3.3.1
FOXL1_HUMAN.H11MO.0.D,FOXL1_HUMAN.H11MO.0.D,FOXL1,FOXL1,19,D,Forkhead box (FOX) factors{3.3.1},2300,FOXL1_HUMAN,3.3.1
FOXM1_HUMAN.H11MO.0.A,FOXM1_HUMAN.H11MO.0.A,FOXM1,FOXM1,12,A,Forkhead box (FOX) factors{3.3.1},2305,FOXM1_HUMAN,3.3.1
FOXO1_HUMAN.H11MO.0.A,FOXO1_HUMAN.H11MO.0.A,FOXO1,FOXO1,12,A,Forkhead box (FOX) factors{3.3.1},2308,FOXO1_HUMAN,3.3.1
FOXO3_HUMAN.H11MO.0.B,FOXO3_HUMAN.H11MO.0.B,FOXO3,FOXO3,10,B,Forkhead box (FOX) factors{3.3.1},2309,FOXO3_HUMAN,3.3.1
FOXO4_HUMAN.H11MO.0.C,FOXO4_HUMAN.H11MO.0.C,FOXO4,FOXO4,9,C,Forkhead box (FOX) factors{3.3.1},4303,FOXO4_HUMAN,3.3.1
FOXO6_HUMAN.H11MO.0.D,FOXO6_HUMAN.H11MO.0.D,FOXO6,FOXO6,13,D,Forkhead box (FOX) factors{3.3.1},,FOXO6_HUMAN,3.3.1
FOXP1_HUMAN.H11MO.0.A,FOXP1_HUMAN.H11MO.0.A,FOXP1,FOXP1,9,A,Forkhead box (FOX) factors{3.3.1},27086,FOXP1_HUMAN,3.3.1
FOXP2_HUMAN.H11MO.0.C,FOXP2_HUMAN.H11MO.0.C,FOXP2,FOXP2,9,C,Forkhead box (FOX) factors{3.3.1},93986,FOXP2_HUMAN,3.3.1
FOXP3_HUMAN.H11MO.0.D,FOXP3_HUMAN.H11MO.0.D,FOXP3,FOXP3,9,D,Forkhead box (FOX) factors{3.3.1},50943,FOXP3_HUMAN,3.3.1
FOXQ1_HUMAN.H11MO.0.C,FOXQ1_HUMAN.H11MO.0.C,FOXQ1,FOXQ1,12,C,Forkhead box (FOX) factors{3.3.1},94234,FOXQ1_HUMAN,3.3.1
FUBP1_HUMAN.H11MO.0.D,FUBP1_HUMAN.H11MO.0.D,FUBP1,FUBP1,12,D,,8880,FUBP1_HUMAN,
GABPA_HUMAN.H11MO.0.A,GABPA_HUMAN.H11MO.0.A,GABPA,GABPA,14,A,Ets-related factors{3.5.2},2551,GABPA_HUMAN,3.5.2
GATA1_HUMAN.H11MO.0.A,GATA1_HUMAN.H11MO.0.A,GATA1,GATA1,19,A,GATA-type zinc fingers{2.2.1},2623,GATA1_HUMAN,2.2.1
GATA1_HUMAN.H11MO.1.A,GATA1_HUMAN.H11MO.1.A,GATA1,GATA1,11,A,GATA-type zinc fingers{2.2.1},2623,GATA1_HUMAN,2.2.1
GATA2_HUMAN.H11MO.0.A,GATA2_HUMAN.H11MO.0.A,GATA2,GATA2,19,A,GATA-type zinc fingers{2.2.1},2624,GATA2_HUMAN,2.2.1
GATA2_HUMAN.H11MO.1.A,GATA2_HUMAN.H11MO.1.A,GATA2,GATA2,11,A,GATA-type zinc fingers{2.2.1},2624,GATA2_HUMAN,2.2.1
GATA3_HUMAN.H11MO.0.A,GATA3_HUMAN.H11MO.0.A,GATA3,GATA3,11,A,GATA-type zinc fingers{2.2.1},2625,GATA3_HUMAN,2.2.1
GATA4_HUMAN.H11MO.0.A,GATA4_HUMAN.H11MO.0.A,GATA4,GATA4,10,A,GATA-type zinc fingers{2.2.1},2626,GATA4_HUMAN,2.2.1
GATA5_HUMAN.H11MO.0.D,GATA5_HUMAN.H11MO.0.D,GATA5,GATA5,17,D,GATA-type zinc fingers{2.2.1},140628,GATA5_HUMAN,2.2.1
GATA6_HUMAN.H11MO.0.A,GATA6_HUMAN.H11MO.0.A,GATA6,GATA6,13,A,GATA-type zinc fingers{2.2.1},2627,GATA6_HUMAN,2.2.1
GBX1_HUMAN.H11MO.0.D,GBX1_HUMAN.H11MO.0.D,GBX1,GBX1,17,D,HOX-related factors{3.1.1},2636,GBX1_HUMAN,3.1.1
GBX2_HUMAN.H11MO.0.D,GBX2_HUMAN.H11MO.0.D,GBX2,GBX2,17,D,HOX-related factors{3.1.1},2637,GBX2_HUMAN,3.1.1
GCM1_HUMAN.H11MO.0.D,GCM1_HUMAN.H11MO.0.D,GCM1,GCM1,14,D,GCM factors{7.2.1},8521,GCM1_HUMAN,7.2.1
GCM2_HUMAN.H11MO.0.D,GCM2_HUMAN.H11MO.0.D,GCM2,GCM2,11,D,GCM factors{7.2.1},9247,GCM2_HUMAN,7.2.1
GCR_HUMAN.H11MO.0.A,GCR_HUMAN.H11MO.0.A,NR3C1,NR3C1,15,A,Steroid hormone receptors (NR3){2.1.1},2908,GCR_HUMAN,2.1.1
GCR_HUMAN.H11MO.1.A,GCR_HUMAN.H11MO.1.A,NR3C1,NR3C1,12,A,Steroid hormone receptors (NR3){2.1.1},2908,GCR_HUMAN,2.1.1
GFI1B_HUMAN.H11MO.0.A,GFI1B_HUMAN.H11MO.0.A,GFI1B,GFI1B,10,A,More than 3 adjacent zinc finger factors{2.3.3},8328,GFI1B_HUMAN,2.3.3
GFI1_HUMAN.H11MO.0.C,GFI1_HUMAN.H11MO.0.C,GFI1,GFI1,10,C,More than 3 adjacent zinc finger factors{2.3.3},2672,GFI1_HUMAN,2.3.3
GLI1_HUMAN.H11MO.0.D,GLI1_HUMAN.H11MO.0.D,GLI1,GLI1,12,D,More than 3 adjacent zinc finger factors{2.3.3},2735,GLI1_HUMAN,2.3.3
GLI2_HUMAN.H11MO.0.D,GLI2_HUMAN.H11MO.0.D,GLI2,GLI2,11,D,More than 3 adjacent zinc finger factors{2.3.3},2736,GLI2_HUMAN,2.3.3
GLI3_HUMAN.H11MO.0.B,GLI3_HUMAN.H11MO.0.B,GLI3,GLI3,11,B,More than 3 adjacent zinc finger factors{2.3.3},2737,GLI3_HUMAN,2.3.3
GLIS1_HUMAN.H11MO.0.D,GLIS1_HUMAN.H11MO.0.D,GLIS1,GLIS1,13,D,More than 3 adjacent zinc finger factors{2.3.3},148979,GLIS1_HUMAN,2.3.3
GLIS2_HUMAN.H11MO.0.D,GLIS2_HUMAN.H11MO.0.D,GLIS2,GLIS2,14,D,More than 3 adjacent zinc finger factors{2.3.3},84662,GLIS2_HUMAN,2.3.3
GLIS3_HUMAN.H11MO.0.D,GLIS3_HUMAN.H11MO.0.D,GLIS3,GLIS3,10,D,More than 3 adjacent zinc finger factors{2.3.3},169792,GLIS3_HUMAN,2.3.3
GMEB2_HUMAN.H11MO.0.D,GMEB2_HUMAN.H11MO.0.D,GMEB2,GMEB2,11,D,GMEB{5.3.3},26205,GMEB2_HUMAN,5.3.3
GRHL1_HUMAN.H11MO.0.D,GRHL1_HUMAN.H11MO.0.D,GRHL1,GRHL1,12,D,Grainyhead-related factors{6.7.1},29841,GRHL1_HUMAN,6.7.1
GRHL2_HUMAN.H11MO.0.A,GRHL2_HUMAN.H11MO.0.A,GRHL2,GRHL2,12,A,Grainyhead-related factors{6.7.1},79977,GRHL2_HUMAN,6.7.1
GSC2_HUMAN.H11MO.0.D,GSC2_HUMAN.H11MO.0.D,GSC2,GSC2,11,D,Paired-related HD factors{3.1.3},2928,GSC2_HUMAN,3.1.3
GSC_HUMAN.H11MO.0.D,GSC_HUMAN.H11MO.0.D,GSC,GSC,11,D,Paired-related HD factors{3.1.3},145258,GSC_HUMAN,3.1.3
GSX1_HUMAN.H11MO.0.D,GSX1_HUMAN.H11MO.0.D,GSX1,GSX1,15,D,HOX-related factors{3.1.1},219409,GSX1_HUMAN,3.1.1
GSX2_HUMAN.H11MO.0.D,GSX2_HUMAN.H11MO.0.D,GSX2,GSX2,16,D,HOX-related factors{3.1.1},170825,GSX2_HUMAN,3.1.1
HAND1_HUMAN.H11MO.0.D,HAND1_HUMAN.H11MO.0.D,HAND1,HAND1,17,D,Tal-related factors{1.2.3},9421,HAND1_HUMAN,1.2.3
HAND1_HUMAN.H11MO.1.D,HAND1_HUMAN.H11MO.1.D,HAND1,HAND1,7,D,Tal-related factors{1.2.3},9421,HAND1_HUMAN,1.2.3
HBP1_HUMAN.H11MO.0.D,HBP1_HUMAN.H11MO.0.D,HBP1,HBP1,9,D,SOX-related factors{4.1.1},26959,HBP1_HUMAN,4.1.1
HEN1_HUMAN.H11MO.0.C,HEN1_HUMAN.H11MO.0.C,NHLH1,NHLH1,20,C,Tal-related factors{1.2.3},4807,HEN1_HUMAN,1.2.3
HES1_HUMAN.H11MO.0.D,HES1_HUMAN.H11MO.0.D,HES1,HES1,13,D,Hairy-related factors{1.2.4},3280,HES1_HUMAN,1.2.4
HES5_HUMAN.H11MO.0.D,HES5_HUMAN.H11MO.0.D,HES5,HES5,12,D,Hairy-related factors{1.2.4},388585,HES5_HUMAN,1.2.4
HES7_HUMAN.H11MO.0.D,HES7_HUMAN.H11MO.0.D,HES7,HES7,12,D,Hairy-related factors{1.2.4},84667,HES7_HUMAN,1.2.4
HESX1_HUMAN.H11MO.0.D,HESX1_HUMAN.H11MO.0.D,HESX1,HESX1,16,D,Paired-related HD factors{3.1.3},8820,HESX1_HUMAN,3.1.3
HEY1_HUMAN.H11MO.0.D,HEY1_HUMAN.H11MO.0.D,HEY1,HEY1,12,D,Hairy-related factors{1.2.4},23462,HEY1_HUMAN,1.2.4
HEY2_HUMAN.H11MO.0.D,HEY2_HUMAN.H11MO.0.D,HEY2,HEY2,17,D,Hairy-related factors{1.2.4},23493,HEY2_HUMAN,1.2.4
HIC1_HUMAN.H11MO.0.C,HIC1_HUMAN.H11MO.0.C,HIC1,HIC1,9,C,Factors with multiple dispersed zinc fingers{2.3.4},3090,HIC1_HUMAN,2.3.4
HIC2_HUMAN.H11MO.0.D,HIC2_HUMAN.H11MO.0.D,HIC2,HIC2,11,D,Factors with multiple dispersed zinc fingers{2.3.4},23119,HIC2_HUMAN,2.3.4
HIF1A_HUMAN.H11MO.0.C,HIF1A_HUMAN.H11MO.0.C,HIF1A,HIF1A,8,C,PAS domain factors{1.2.5},3091,HIF1A_HUMAN,1.2.5
HINFP_HUMAN.H11MO.0.C,HINFP_HUMAN.H11MO.0.C,HINFP,HINFP,16,C,Factors with multiple dispersed zinc fingers{2.3.4},25988,HINFP_HUMAN,2.3.4
HLF_HUMAN.H11MO.0.C,HLF_HUMAN.H11MO.0.C,HLF,HLF,13,C,C/EBP-related{1.1.8},3131,HLF_HUMAN,1.1.8
HLTF_HUMAN.H11MO.0.D,HLTF_HUMAN.H11MO.0.D,HLTF,HLTF,12,D,,6596,HLTF_HUMAN,
HMBX1_HUMAN.H11MO.0.D,HMBX1_HUMAN.H11MO.0.D,HMBOX1,HMBOX1,9,D,POU domain factors{3.1.10},79618,HMBX1_HUMAN,3.1.10
HME1_HUMAN.H11MO.0.D,HME1_HUMAN.H11MO.0.D,EN1,EN1,17,D,NK-related factors{3.1.2},2019,HME1_HUMAN,3.1.2
HME2_HUMAN.H11MO.0.D,HME2_HUMAN.H11MO.0.D,EN2,EN2,11,D,NK-related factors{3.1.2},2020,HME2_HUMAN,3.1.2
HMGA1_HUMAN.H11MO.0.D,HMGA1_HUMAN.H11MO.0.D,HMGA1,HMGA1,7,D,HMGA factors{8.2.1},3159,HMGA1_HUMAN,8.2.1
HMGA2_HUMAN.H11MO.0.D,HMGA2_HUMAN.H11MO.0.D,HMGA2,HMGA2,15,D,HMGA factors{8.2.1},8091,HMGA2_HUMAN,8.2.1
HMX1_HUMAN.H11MO.0.D,HMX1_HUMAN.H11MO.0.D,HMX1,HMX1,17,D,NK-related factors{3.1.2},3166,HMX1_HUMAN,3.1.2
HMX2_HUMAN.H11MO.0.D,HMX2_HUMAN.H11MO.0.D,HMX2,HMX2,11,D,NK-related factors{3.1.2},3167,HMX2_HUMAN,3.1.2
HMX3_HUMAN.H11MO.0.D,HMX3_HUMAN.H11MO.0.D,HMX3,HMX3,11,D,NK-related factors{3.1.2},340784,HMX3_HUMAN,3.1.2
HNF1A_HUMAN.H11MO.0.C,HNF1A_HUMAN.H11MO.0.C,HNF1A,HNF1A,15,C,POU domain factors{3.1.10},6927,HNF1A_HUMAN,3.1.10
HNF1B_HUMAN.H11MO.0.A,HNF1B_HUMAN.H11MO.0.A,HNF1B,HNF1B,15,A,POU domain factors{3.1.10},6928,HNF1B_HUMAN,3.1.10
HNF1B_HUMAN.H11MO.1.A,HNF1B_HUMAN.H11MO.1.A,HNF1B,HNF1B,11,A,POU domain factors{3.1.10},6928,HNF1B_HUMAN,3.1.10
HNF4A_HUMAN.H11MO.0.A,HNF4A_HUMAN.H11MO.0.A,HNF4A,HNF4A,14,A,RXR-related receptors (NR2){2.1.3},3172,HNF4A_HUMAN,2.1.3
HNF4G_HUMAN.H11MO.0.B,HNF4G_HUMAN.H11MO.0.B,HNF4G,HNF4G,14,B,RXR-related receptors (NR2){2.1.3},3174,HNF4G_HUMAN,2.1.3
HNF6_HUMAN.H11MO.0.B,HNF6_HUMAN.H11MO.0.B,ONECUT1,ONECUT1,11,B,HD-CUT factors{3.1.9},3175,HNF6_HUMAN,3.1.9
HOMEZ_HUMAN.H11MO.0.D,HOMEZ_HUMAN.H11MO.0.D,HOMEZ,HOMEZ,15,D,HD-ZF factors{3.1.8},57594,HOMEZ_HUMAN,3.1.8
HSF1_HUMAN.H11MO.0.A,HSF1_HUMAN.H11MO.0.A,HSF1,HSF1,15,A,HSF factors{3.4.1},3297,HSF1_HUMAN,3.4.1
HSF1_HUMAN.H11MO.1.A,HSF1_HUMAN.H11MO.1.A,HSF1,HSF1,9,A,HSF factors{3.4.1},3297,HSF1_HUMAN,3.4.1
HSF2_HUMAN.H11MO.0.A,HSF2_HUMAN.H11MO.0.A,HSF2,HSF2,14,A,HSF factors{3.4.1},3298,HSF2_HUMAN,3.4.1
HSF4_HUMAN.H11MO.0.D,HSF4_HUMAN.H11MO.0.D,HSF4,HSF4,15,D,HSF factors{3.4.1},3299,HSF4_HUMAN,3.4.1
HSFY1_HUMAN.H11MO.0.D,HSFY1_HUMAN.H11MO.0.D,HSFY1; HSFY2,HSFY1; HSFY2,12,D,HSF factors{3.4.1},159119; 86614,HSFY1_HUMAN,3.4.1
HTF4_HUMAN.H11MO.0.A,HTF4_HUMAN.H11MO.0.A,TCF12,TCF12,10,A,E2A-related factors{1.2.1},6938,HTF4_HUMAN,1.2.1
HXA10_HUMAN.H11MO.0.C,HXA10_HUMAN.H11MO.0.C,HOXA10,HOXA10,12,C,HOX-related factors{3.1.1},3206,HXA10_HUMAN,3.1.1
HXA11_HUMAN.H11MO.0.D,HXA11_HUMAN.H11MO.0.D,HOXA11,HOXA11,13,D,HOX-related factors{3.1.1},3207,HXA11_HUMAN,3.1.1
HXA13_HUMAN.H11MO.0.C,HXA13_HUMAN.H11MO.0.C,HOXA13,HOXA13,11,C,HOX-related factors{3.1.1},3209,HXA13_HUMAN,3.1.1
HXA1_HUMAN.H11MO.0.C,HXA1_HUMAN.H11MO.0.C,HOXA1,HOXA1,10,C,HOX-related factors{3.1.1},3198,HXA1_HUMAN,3.1.1
HXA2_HUMAN.H11MO.0.D,HXA2_HUMAN.H11MO.0.D,HOXA2,HOXA2,11,D,HOX-related factors{3.1.1},3199,HXA2_HUMAN,3.1.1
HXA5_HUMAN.H11MO.0.D,HXA5_HUMAN.H11MO.0.D,HOXA5,HOXA5,10,D,HOX-related factors{3.1.1},3202,HXA5_HUMAN,3.1.1
HXA7_HUMAN.H11MO.0.D,HXA7_HUMAN.H11MO.0.D,HOXA7,HOXA7,15,D,HOX-related factors{3.1.1},3204,HXA7_HUMAN,3.1.1
HXA9_HUMAN.H11MO.0.B,HXA9_HUMAN.H11MO.0.B,HOXA9,HOXA9,11,B,HOX-related factors{3.1.1},3205,HXA9_HUMAN,3.1.1
HXB13_HUMAN.H11MO.0.A,HXB13_HUMAN.H11MO.0.A,HOXB13,HOXB13,10,A,HOX-related factors{3.1.1},10481,HXB13_HUMAN,3.1.1
HXB1_HUMAN.H11MO.0.D,HXB1_HUMAN.H11MO.0.D,HOXB1,HOXB1,10,D,HOX-related factors{3.1.1},3211,HXB1_HUMAN,3.1.1
HXB2_HUMAN.H11MO.0.D,HXB2_HUMAN.H11MO.0.D,HOXB2,HOXB2,15,D,HOX-related factors{3.1.1},3212,HXB2_HUMAN,3.1.1
HXB3_HUMAN.H11MO.0.D,HXB3_HUMAN.H11MO.0.D,HOXB3,HOXB3,14,D,HOX-related factors{3.1.1},3213,HXB3_HUMAN,3.1.1
HXB4_HUMAN.H11MO.0.B,HXB4_HUMAN.H11MO.0.B,HOXB4,HOXB4,8,B,HOX-related factors{3.1.1},3214,HXB4_HUMAN,3.1.1
HXB6_HUMAN.H11MO.0.D,HXB6_HUMAN.H11MO.0.D,HOXB6,HOXB6,13,D,HOX-related factors{3.1.1},3216,HXB6_HUMAN,3.1.1
HXB7_HUMAN.H11MO.0.C,HXB7_HUMAN.H11MO.0.C,HOXB7,HOXB7,10,C,HOX-related factors{3.1.1},3217,HXB7_HUMAN,3.1.1
HXB8_HUMAN.H11MO.0.C,HXB8_HUMAN.H11MO.0.C,HOXB8,HOXB8,11,C,HOX-related factors{3.1.1},3218,HXB8_HUMAN,3.1.1
HXC10_HUMAN.H11MO.0.D,HXC10_HUMAN.H11MO.0.D,HOXC10,HOXC10,19,D,HOX-related factors{3.1.1},3226,HXC10_HUMAN,3.1.1
HXC11_HUMAN.H11MO.0.D,HXC11_HUMAN.H11MO.0.D,HOXC11,HOXC11,11,D,HOX-related factors{3.1.1},3227,HXC11_HUMAN,3.1.1
HXC12_HUMAN.H11MO.0.D,HXC12_HUMAN.H11MO.0.D,HOXC12,HOXC12,12,D,HOX-related factors{3.1.1},3228,HXC12_HUMAN,3.1.1
HXC13_HUMAN.H11MO.0.D,HXC13_HUMAN.H11MO.0.D,HOXC13,HOXC13,11,D,HOX-related factors{3.1.1},3229,HXC13_HUMAN,3.1.1
HXC6_HUMAN.H11MO.0.D,HXC6_HUMAN.H11MO.0.D,HOXC6,HOXC6,15,D,HOX-related factors{3.1.1},3223,HXC6_HUMAN,3.1.1
HXC8_HUMAN.H11MO.0.D,HXC8_HUMAN.H11MO.0.D,HOXC8,HOXC8,14,D,HOX-related factors{3.1.1},3224,HXC8_HUMAN,3.1.1
HXC9_HUMAN.H11MO.0.C,HXC9_HUMAN.H11MO.0.C,HOXC9,HOXC9,10,C,HOX-related factors{3.1.1},3225,HXC9_HUMAN,3.1.1
HXD10_HUMAN.H11MO.0.D,HXD10_HUMAN.H11MO.0.D,HOXD10,HOXD10,10,D,HOX-related factors{3.1.1},3236,HXD10_HUMAN,3.1.1
HXD11_HUMAN.H11MO.0.D,HXD11_HUMAN.H11MO.0.D,HOXD11,HOXD11,11,D,HOX-related factors{3.1.1},3237,HXD11_HUMAN,3.1.1
HXD12_HUMAN.H11MO.0.D,HXD12_HUMAN.H11MO.0.D,HOXD12,HOXD12,11,D,HOX-related factors{3.1.1},3238,HXD12_HUMAN,3.1.1
HXD13_HUMAN.H11MO.0.D,HXD13_HUMAN.H11MO.0.D,HOXD13,HOXD13,11,D,HOX-related factors{3.1.1},3239,HXD13_HUMAN,3.1.1
HXD3_HUMAN.H11MO.0.D,HXD3_HUMAN.H11MO.0.D,HOXD3,HOXD3,11,D,HOX-related factors{3.1.1},3232,HXD3_HUMAN,3.1.1
HXD4_HUMAN.H11MO.0.D,HXD4_HUMAN.H11MO.0.D,HOXD4,HOXD4,8,D,HOX-related factors{3.1.1},3233,HXD4_HUMAN,3.1.1
HXD8_HUMAN.H11MO.0.D,HXD8_HUMAN.H11MO.0.D,HOXD8,HOXD8,11,D,HOX-related factors{3.1.1},3234,HXD8_HUMAN,3.1.1
HXD9_HUMAN.H11MO.0.D,HXD9_HUMAN.H11MO.0.D,HOXD9,HOXD9,10,D,HOX-related factors{3.1.1},3235,HXD9_HUMAN,3.1.1
ID4_HUMAN.H11MO.0.D,ID4_HUMAN.H11MO.0.D,ID4,ID4,11,D,HLH domain only{1.2.8},3400,ID4_HUMAN,1.2.8
IKZF1_HUMAN.H11MO.0.C,IKZF1_HUMAN.H11MO.0.C,IKZF1,IKZF1,8,C,Factors with multiple dispersed zinc fingers{2.3.4},10320,IKZF1_HUMAN,2.3.4
INSM1_HUMAN.H11MO.0.C,INSM1_HUMAN.H11MO.0.C,INSM1,INSM1,12,C,Factors with multiple dispersed zinc fingers{2.3.4},3642,INSM1_HUMAN,2.3.4
IRF1_HUMAN.H11MO.0.A,IRF1_HUMAN.H11MO.0.A,IRF1,IRF1,20,A,Interferon-regulatory factors{3.5.3},3659,IRF1_HUMAN,3.5.3
IRF2_HUMAN.H11MO.0.A,IRF2_HUMAN.H11MO.0.A,IRF2,IRF2,20,A,Interferon-regulatory factors{3.5.3},3660,IRF2_HUMAN,3.5.3
IRF3_HUMAN.H11MO.0.B,IRF3_HUMAN.H11MO.0.B,IRF3,IRF3,20,B,Interferon-regulatory factors{3.5.3},3661,IRF3_HUMAN,3.5.3
IRF4_HUMAN.H11MO.0.A,IRF4_HUMAN.H11MO.0.A,IRF4,IRF4,18,A,Interferon-regulatory factors{3.5.3},3662,IRF4_HUMAN,3.5.3
IRF5_HUMAN.H11MO.0.D,IRF5_HUMAN.H11MO.0.D,IRF5,IRF5,20,D,Interferon-regulatory factors{3.5.3},3663,IRF5_HUMAN,3.5.3
IRF7_HUMAN.H11MO.0.C,IRF7_HUMAN.H11MO.0.C,IRF7,IRF7,10,C,Interferon-regulatory factors{3.5.3},3665,IRF7_HUMAN,3.5.3
IRF8_HUMAN.H11MO.0.B,IRF8_HUMAN.H11MO.0.B,IRF8,IRF8,20,B,Interferon-regulatory factors{3.5.3},3394,IRF8_HUMAN,3.5.3
IRF9_HUMAN.H11MO.0.C,IRF9_HUMAN.H11MO.0.C,IRF9,IRF9,12,C,Interferon-regulatory factors{3.5.3},10379,IRF9_HUMAN,3.5.3
IRX2_HUMAN.H11MO.0.D,IRX2_HUMAN.H11MO.0.D,IRX2,IRX2,19,D,TALE-type homeo domain factors{3.1.4},153572,IRX2_HUMAN,3.1.4
IRX3_HUMAN.H11MO.0.D,IRX3_HUMAN.H11MO.0.D,IRX3,IRX3,11,D,TALE-type homeo domain factors{3.1.4},79191,IRX3_HUMAN,3.1.4
ISL1_HUMAN.H11MO.0.A,ISL1_HUMAN.H11MO.0.A,ISL1,ISL1,9,A,HD-LIM factors{3.1.5},3670,ISL1_HUMAN,3.1.5
ISL2_HUMAN.H11MO.0.D,ISL2_HUMAN.H11MO.0.D,ISL2,ISL2,11,D,HD-LIM factors{3.1.5},64843,ISL2_HUMAN,3.1.5
ISX_HUMAN.H11MO.0.D,ISX_HUMAN.H11MO.0.D,ISX,ISX,16,D,Paired-related HD factors{3.1.3},91464,ISX_HUMAN,3.1.3
ITF2_HUMAN.H11MO.0.C,ITF2_HUMAN.H11MO.0.C,TCF4,TCF4,10,C,E2A-related factors{1.2.1},6925,ITF2_HUMAN,1.2.1
JDP2_HUMAN.H11MO.0.D,JDP2_HUMAN.H11MO.0.D,JDP2,JDP2,12,D,Fos-related factors{1.1.2},122953,JDP2_HUMAN,1.1.2
JUNB_HUMAN.H11MO.0.A,JUNB_HUMAN.H11MO.0.A,JUNB,JUNB,11,A,Jun-related factors{1.1.1},3726,JUNB_HUMAN,1.1.1
JUND_HUMAN.H11MO.0.A,JUND_HUMAN.H11MO.0.A,JUND,JUND,11,A,Jun-related factors{1.1.1},3727,JUND_HUMAN,1.1.1
JUN_HUMAN.H11MO.0.A,JUN_HUMAN.H11MO.0.A,JUN,JUN,11,A,Jun-related factors{1.1.1},3725,JUN_HUMAN,1.1.1
KAISO_HUMAN.H11MO.0.A,KAISO_HUMAN.H11MO.0.A,ZBTB33,ZBTB33,15,A,Other factors with up to three adjacent zinc fingers{2.3.2},10009,KAISO_HUMAN,2.3.2
KAISO_HUMAN.H11MO.1.A,KAISO_HUMAN.H11MO.1.A,ZBTB33,ZBTB33,11,A,Other factors with up to three adjacent zinc fingers{2.3.2},10009,KAISO_HUMAN,2.3.2
KAISO_HUMAN.H11MO.2.A,KAISO_HUMAN.H11MO.2.A,ZBTB33,ZBTB33,12,A,Other factors with up to three adjacent zinc fingers{2.3.2},10009,KAISO_HUMAN,2.3.2
KLF12_HUMAN.H11MO.0.C,KLF12_HUMAN.H11MO.0.C,KLF12,KLF12,11,C,Three-zinc finger Krueppel-related factors{2.3.1},11278,KLF12_HUMAN,2.3.1
KLF13_HUMAN.H11MO.0.D,KLF13_HUMAN.H11MO.0.D,KLF13,KLF13,11,D,Three-zinc finger Krueppel-related factors{2.3.1},51621,KLF13_HUMAN,2.3.1
KLF14_HUMAN.H11MO.0.D,KLF14_HUMAN.H11MO.0.D,KLF14,KLF14,13,D,Three-zinc finger Krueppel-related factors{2.3.1},,KLF14_HUMAN,2.3.1
KLF15_HUMAN.H11MO.0.A,KLF15_HUMAN.H11MO.0.A,KLF15,KLF15,19,A,Three-zinc finger Krueppel-related factors{2.3.1},28999,KLF15_HUMAN,2.3.1
